tax_id	superkingdom	phylum	class	order	family	genus	species
18635	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Bankeraceae	Hydnellum	Hydnellum_mirabile
18636	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Usnea	Usnea_aciculifera
18637	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Clavispora	Clavispora_fructus
18638	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Danielozyma	Danielozyma_ontarioensis
18639	Fungi	Basidiomycota	Agaricomycetes	Boletales	Rhizopogonaceae	Rhizopogon	Rhizopogon_kretzerae
18640	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Tephromelataceae	Tephromela	Tephromela_grumosa
18641	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita_subpallidorosea
18642	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae	Megasporoporiella	Megasporoporiella_pseudocavernulosa
18643	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Erysiphe	Erysiphe_huayinensis
18644	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrophorus	Hygrophorus_albicastaneus
18645	Fungi	Basidiomycota	Agaricomycetes	Gomphales	Gomphaceae	Ramaria	Ramaria_araiospora
18646	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Auricularia	Auricularia_delicata
18647	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus_koreanus
18648	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia_flanaganii
18649	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_nevoi
18650	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps_retorta
18651	Fungi	Basidiomycota	Agaricomycetes	Boletales	Suillaceae	Suillus	Suillus_subluteus
18652	Fungi	Ascomycota	Dothideomycetes	Trypetheliales	Trypetheliaceae	Trypethelium	Trypethelium_eluteriae
18653	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_xanthosarcus
18654	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_coleoptera
18655	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Gymnopus	Gymnopus_barbipes
18656	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Dialonectria	Dialonectria_episphaeria
18657	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Melanelixia	Melanelixia_villosella
18658	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	Tricholoma_arvernense
18659	Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	Coleosporiaceae	Coleosporium	Coleosporium_tussilaginis
18660	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Hebeloma	Hebeloma_vinosophyllum
18661	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Dictyosporiaceae	Pseudodictyosporium	Pseudodictyosporium_elegans
18662	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Corynesporascaceae	Corynespora	Corynespora_torulosa
18663	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Xanthoparmelia	Xanthoparmelia_loxodes
18664	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Clavulinaceae	Clavulina	Clavulina_cerebriformis
18665	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Fomitopsis	Fomitopsis_castanea
18666	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_viridicinnamomea
18667	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Typhulaceae	Typhula	Typhula_filiformis
18668	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	Hannaella_coprosmae
18669	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Pluteus	Pluteus_atromarginatus
18670	Fungi	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Ochroconis	Ochroconis_lascauxensis
18671	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis_geesterani
18672	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae	Tuber	Tuber_melanosporum
18673	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_collegarum
18674	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_metarius
18675	Fungi	Basidiomycota	Atractiellomycetes	Atractiellales	Atractiellales_fam_Incertae_sedis	Helicogloea	Helicogloea_aquilonia
18676	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophora	Cyphellophora_suttonii
18677	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Sarocladium	Sarocladium_hominis
18678	Fungi	Ascomycota	Leotiomycetes	Rhytismatales	Cudoniaceae	Cudonia	Cudonia_confusa
18679	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Lepiota	Lepiota_sanguineofracta
18680	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Ganodermataceae	Ganoderma	Ganoderma_zonatum
18681	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Lachnellula	Lachnellula_fuscosanguinea
18682	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Komagataella	Komagataella_pastoris
18683	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Trichomonascaceae	Blastobotrys	Blastobotrys_indianensis
18684	Fungi	Ascomycota	Sordariomycetes	Microascales	Halosphaeriaceae	Corollospora	Corollospora_angusta
18685	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_armiae
18686	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	Diaporthe_dorycnii
18687	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Alnicola	Alnicola_cholea
18688	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactifluus	Lactifluus_subvolemus
18689	Fungi	Basidiomycota	Agaricomycetes	Boletales	Rhizopogonaceae	Rhizopogon	Rhizopogon_vinicolor
18690	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	Acarosporaceae	Polysporina	Polysporina_subfuscescens
18691	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Podoscyphaceae	Cotylidia	Cotylidia_sp
